month,product,n
2023-11,"Money transfer, virtual currency, or money service",807
2023-11,Mortgage,1284
2023-11,"Payday loan, title loan, personal loan, or advance loan",391
2023-11,Prepaid card,332
2023-11,Student loan,1032
2023-11,Vehicle loan or lease,716
2023-12,Checking or savings account,3821
2023-12,Debt or credit management,111
2023-12,"Money transfer, virtual currency, or money service",1232
2023-12,Mortgage,1779
2023-12,"Payday loan, title loan, personal loan, or advance loan",573
2023-12,Prepaid card,695
2023-12,Vehicle loan or lease,918
2024-01,Checking or savings account,4032
2024-01,Debt collection,7176
2024-01,Debt or credit management,142
2024-01,"Money transfer, virtual currency, or money service",1286
2024-01,Mortgage,1812
2024-01,"Payday loan, title loan, personal loan, or advance loan",791
2024-01,Prepaid card,681
2024-01,Student loan,1617
2024-02,Debt or credit management,152
2024-02,"Money transfer, virtual currency, or money service",1306
2024-02,Mortgage,1942
2024-02,Prepaid card,553
2024-02,Student loan,1222
2024-02,Vehicle loan or lease,1032
2024-03,Credit card,5889
2024-03,Debt collection,12354
2024-03,Debt or credit management,159
2024-03,"Money transfer, virtual currency, or money service",1457
2024-03,"Payday loan, title loan, personal loan, or advance loan",916
2024-03,Student loan,1323
2024-03,Vehicle loan or lease,1333
2024-04,Checking or savings account,4327
2024-04,Credit card,6676
2024-04,Debt collection,12912
2024-04,Debt or credit management,180
2024-04,"Money transfer, virtual currency, or money service",1285
2024-04,"Payday loan, title loan, personal loan, or advance loan",667
2024-04,Student loan,1159
2024-04,Vehicle loan or lease,1094
2024-05,Debt or credit management,194
2024-05,"Money transfer, virtual currency, or money service",1351
2024-05,"Payday loan, title loan, personal loan, or advance loan",713
2024-05,Prepaid card,535
2024-05,Student loan,1260
2024-06,Debt collection,11099
2024-06,Debt or credit management,173
2024-06,"Money transfer, virtual currency, or money service",1268
2024-06,"Payday loan, title loan, personal loan, or advance loan",622
2024-06,Prepaid card,494
2024-06,Student loan,987
2024-06,Vehicle loan or lease,946
2024-07,Checking or savings account,4329
2024-07,Credit card,6192
2024-07,Debt collection,12149
2024-07,Debt or credit management,168
2024-07,"Money transfer, virtual currency, or money service",1328
2024-07,"Payday loan, title loan, personal loan, or advance loan",721
2024-07,Prepaid card,478
2024-07,Student loan,960
2024-07,Vehicle loan or lease,1025
2024-08,Credit card,7355
2024-08,Debt collection,14171
2024-08,Debt or credit management,201
2024-08,"Money transfer, virtual currency, or money service",1557
2024-08,Prepaid card,458
2024-08,Student loan,882
2024-08,Vehicle loan or lease,1150
2024-09,Credit card,7185
2024-09,Debt collection,15475
2024-09,Debt or credit management,145
2024-09,"Money transfer, virtual currency, or money service",1316
2024-09,Mortgage,1779
2024-09,Prepaid card,349
2024-09,Student loan,1549
2024-09,Vehicle loan or lease,1087
2024-10,Checking or savings account,4692
2024-10,Credit card,7176
2024-10,Debt or credit management,217
2024-10,"Money transfer, virtual currency, or money service",1450
2024-10,"Payday loan, title loan, personal loan, or advance loan",879
2024-10,Prepaid card,447
2024-10,Student loan,1459
2024-10,Vehicle loan or lease,1187
2024-11,Credit card,6095
2024-11,Debt or credit management,154
2024-11,"Payday loan, title loan, personal loan, or advance loan",802
2024-11,Prepaid card,458
2024-11,Student loan,916
2024-12,Checking or savings account,4798
2024-12,Credit card,6697
2024-12,Debt or credit management,528
2024-12,"Money transfer, virtual currency, or money service",1731
