ticker,month,n,z
TD,2013-10,84,0.5023938062086962
TD,2013-11,77,0.013080494105004191
TD,2013-12,100,1.7867810387217171
TD,2014-01,99,1.4238675169732313
TD,2014-02,83,-0.11897312586683292
TD,2014-03,105,1.6311528545889684
TD,2014-04,88,0.13626065315491095
TD,2014-05,92,0.34779008693952557
TD,2014-06,96,0.6682713658421058
TD,2014-07,118,2.9020451327219225
TD,2014-08,97,0.3913604219267864
TD,2014-09,93,-0.014574791193789172
TD,2014-10,96,0.2050913979883711
TD,2014-11,76,-2.019595980534892
TD,2014-12,107,1.092629159893628
TD,2015-01,90,-0.4873735239214698
TD,2015-02,102,0.6550946963661637
TD,2015-03,110,1.2161454379376502
TD,2015-04,118,1.7504902969835903
TD,2015-05,90,-0.7575406533462189
TD,2015-06,106,0.566664686876611
TD,2015-07,103,0.2697157009885523
TD,2015-08,113,1.193004848805057
TD,2015-09,99,-0.05530014597579121
TD,2015-10,103,0.22934961337255844
TD,2015-11,104,0.2621022716178643
TD,2015-12,132,3.0246930389964146
TD,2016-01,120,1.222664388225468
TD,2016-02,87,-2.125502199182852
TD,2016-03,105,-0.11325314769173188
TD,2016-04,101,-0.41133190152046584
TD,2016-05,110,0.442684495575965
TD,2016-06,127,1.7180748323110675
TD,2016-07,99,-0.7571313584031203
TD,2016-08,106,-0.13247658873733836
TD,2016-09,139,2.2489237163562983
TD,2016-10,118,0.5093306588064356
TD,2016-11,101,-0.728690381805673
TD,2016-12,106,-0.3476743288691614
TD,2017-01,105,-0.30760266299696576
TD,2017-02,110,0.1565019547817389
TD,2017-03,118,0.6880355943775128
TD,2017-04,110,-0.09949542007337697
TD,2017-05,109,-0.2701208558231681
TD,2017-06,113,0.10620469865452879
TD,2017-07,94,-1.8290876770157671
TD,2017-08,121,0.9631835562745654
TD,2017-09,101,-0.9976002346463239
TD,2017-10,98,-1.3800403571489408
TD,2017-11,117,1.2119196396722103
TD,2017-12,129,2.300432723519138
TD,2018-01,267,9.752209878290525
TD,2018-02,126,0.21359356506950092
TD,2018-03,177,1.432964383494806
TD,2018-04,178,1.2287505144357682
TD,2018-05,123,-0.16841829250599563
TD,2018-06,140,0.22480962967528878
TD,2018-07,139,0.14339776425530962
TD,2018-08,151,0.33514232753410844
TD,2018-09,119,-0.5925396268670113
TD,2018-10,139,-0.08333884183475695
TD,2018-11,115,-1.0228379855066099
TD,2018-12,116,-0.9735780010063725
TD,2019-01,125,-0.6028478000432229
TD,2019-02,108,-1.5246793408200296
TD,2019-03,131,-0.14512494518380054
TD,2019-04,116,-0.8694474713445877
TD,2019-05,119,-0.5784986953790895
TD,2019-06,126,0.008929645404092558
TD,2019-07,144,1.4680232156272814
TD,2019-08,160,2.419293605181354
TD,2019-09,166,2.4769509029590493
TD,2019-10,143,0.7411869883462117
TD,2019-11,116,-0.8057410302169329
TD,2019-12,128,-0.0961994954363725
TD,2020-01,141,0.569003801678192
TD,2020-02,132,-0.004769157139446007
TD,2020-03,134,-0.019639711095261365
TD,2020-04,146,0.696542178132572
TD,2020-05,168,1.85819283884453
TD,2020-06,154,0.7655777887124648
TD,2020-07,178,1.954248228535875
TD,2020-08,192,2.161221182224533
TD,2020-09,185,1.4969244450231647
TD,2020-10,165,0.6161637652831735
TD,2020-11,155,0.14354741280599598
TD,2020-12,182,1.174128055261989
TD,2021-01,202,1.8285773872322224
TD,2021-02,195,1.2262756045057326
TD,2021-03,234,2.5206444650749407
TD,2021-04,202,0.9411181640176842
TD,2021-05,200,0.7271097671294647
TD,2021-06,228,1.6971658926467519
TD,2021-07,192,0.0028207924845649627
TD,2021-08,205,0.5128416074540545
TD,2021-09,181,-0.600120181844781
TD,2021-10,193,-0.03733622363432912
TD,2021-11,191,-0.26054727331294536
TD,2021-12,217,1.0537647179192597
TD,2022-01,226,1.4358079321123436
TD,2022-02,290,4.269850982738134
TD,2022-03,203,-0.32470959196999954
TD,2022-04,176,-1.3890215709502487
TD,2022-05,182,-0.9533848430482021
TD,2022-06,155,-2.023083293941457
TD,2022-07,190,-0.285317928956786
TD,2022-08,205,0.20927660560244393
TD,2022-09,192,-0.2119604181746743
TD,2022-10,183,-0.5602752264792189
TD,2022-11,201,0.07970067036847947
TD,2022-12,202,0.08453428694186259
TD,2023-01,230,0.977020989096209
TD,2023-02,185,-0.45706269528576143
TD,2023-03,75,-9.568067219609533
TD,2023-04,0,-18.308754386599336
TD,2023-05,0,-3.1200707363624223
TD,2023-06,0,-2.1201044657114094
TD,2023-07,0,-1.6466389080218125
TD,2023-08,0,-1.3459709822607675
TD,2023-09,1,-0.8671798400116546
TD,2023-10,0,
TD,2023-11,150,
TD,2023-12,178,
TD,2024-01,203,
TD,2024-02,199,
TD,2024-03,224,
TD,2024-04,184,1.1189818460683159
TD,2024-05,204,0.9842595648666544
TD,2024-06,172,0.7683761346058099
TD,2024-07,218,0.7335430221241499
TD,2024-08,274,0.7077478489451283
TD,2024-09,254,0.5533212389043894
TD,2024-10,281,0.49787777246042
TD,2024-11,224,0.3825328965294796
TD,2024-12,253,1.0044308715631338
TD,2025-01,341,2.785921682638172
TD,2025-02,253,0.45486586024307213
TD,2025-03,252,0.3401176819822841
TD,2025-04,257,0.39171255228694835
TD,2025-05,289,0.9513722063748538
TD,2025-06,261,0.19731772812992118
TD,2025-07,334,2.1019328144563074
TD,2025-08,295,0.7040954580492367
TD,2025-09,321,1.3235012409055067
TD,2025-10,355,1.8860726371257006
TD,2025-11,359,1.5994324270783873
TD,2025-12,443,2.8645796526292138
TD,2026-01,492,2.65257910919984
TD,2026-02,383,0.8371506114511008
TD,2026-03,417,1.1008378702680666
TD,2026-04,400,0.7378687196878206
TD,2026-05,443,1.1571551994514386
TD,2026-06,440,0.9462433410752554
TFC,2019-11,1,
TFC,2019-12,0,
TFC,2020-01,1,
TFC,2020-02,40,
TFC,2020-03,126,
TFC,2020-04,157,
TFC,2020-05,129,
TFC,2020-06,122,
TFC,2020-07,164,
TFC,2020-08,127,
TFC,2020-09,160,
TFC,2020-10,124,
TFC,2020-11,132,0.5886103506399483
TFC,2020-12,134,0.47361892693214624
TFC,2021-01,136,0.3606245365496988
TFC,2021-02,158,0.6734721228995658
TFC,2021-03,204,3.5002094344980956
TFC,2021-04,147,0.13608300753568886
TFC,2021-05,151,0.3517818168916242
TFC,2021-06,158,0.5763300988503001
TFC,2021-07,171,1.0265055935560323
TFC,2021-08,194,1.8649021387301046
TFC,2021-09,171,0.6853042624206033
TFC,2021-10,192,1.3869473110854351
TFC,2021-11,196,1.3351274646582312
TFC,2021-12,212,1.6841877944847323
TFC,2022-01,247,2.4963343941834926
TFC,2022-02,276,2.6829874875536777
TFC,2022-03,468,4.725918398625453
TFC,2022-04,345,1.6299101221045489
TFC,2022-05,277,0.6983162893175757
TFC,2022-06,239,0.119275671678092
TFC,2022-07,253,0.20264879657749588
TFC,2022-08,296,0.6553232113025954
TFC,2022-09,250,-0.0673465825098006
TFC,2022-10,205,-1.0041112529248517
TFC,2022-11,191,-1.3492020942222698
TFC,2022-12,213,-0.8768299365047924
TFC,2023-01,250,-0.2218271994782283
TFC,2023-02,236,-0.46327651403597814
TFC,2023-03,85,-4.566265742417779
TFC,2023-04,0,-15.712218442611492
TFC,2023-05,0,-3.1107002330586013
TFC,2023-06,0,-2.11769099851539
TFC,2023-07,0,-1.645082497370847
TFC,2023-08,0,-1.345139483782023
TFC,2023-09,0,-1.1269734278645778
TFC,2023-10,0,
TFC,2023-11,168,
TFC,2023-12,225,
TFC,2024-01,269,
TFC,2024-02,227,
TFC,2024-03,233,
TFC,2024-04,259,1.18733906322369
TFC,2024-05,234,0.9662782361307836
TFC,2024-06,194,0.7502576430647286
TFC,2024-07,241,0.7036924286318198
TFC,2024-08,260,0.6093078630784088
TFC,2024-09,251,0.47048478071246774
TFC,2024-10,260,0.3625801530716658
TFC,2024-11,270,1.074037570133008
TFC,2024-12,307,2.4683250906276397
TFC,2025-01,325,2.3477259921816502
TFC,2025-02,228,-0.7617133450403244
TFC,2025-03,298,1.204799449760879
TFC,2025-04,265,0.18304375481697807
TFC,2025-05,279,0.5345373263772039
TFC,2025-06,276,0.3596574043132384
